title,year
Spider-Man: Into the Spider-Verse,2018
Incredibles 2,2018
Isle of Dogs,2018
Mirai,2018
Ralph Breaks the Internet,2018
Coco,2017
The Boss Baby,2017
The Breadwinner,2017
Ferdinand,2017
Loving Vincent,2017
Zootopia,2016
Kubo and the Two Strings,2016
Moana,2016
My Life as a Zucchini,2016
Sing,2016
Inside Out,2015
Anomalisa,2015
The Good Dinosaur,2015
The Peanuts Movie,2015
Shaun the Sheep Movie,2015
How to Train Your Dragon 2,2014
Big Hero 6,2014
The Book of Life,2014
The Boxtrolls,2014
The Lego Movie,2014
Frozen,2013
The Croods,2013
Despicable Me 2,2013
Brave,2012
Frankenweenie,2012
Hotel Transylvania,2012
Rise of the Guardians,2012
Wreck-It Ralph,2012
The Adventures of Tintin,2011
Arthur Christmas,2011
Cars 2,2011
Puss in Boots,2011
Rango,2011
Toy Story 3,2010
Despicable Me,2010
How to Train Your Dragon,2010
The Illusionist,2010
Tangled,2010
Up,2009
Cloudy with a Chance of Meatballs,2009
Coraline,2009
Fantastic Mr. Fox,2009
The Princess and the Frog,2009
WALL-E,2008
Bolt,2008
Kung Fu Panda,2008
Ratatouille,2007
Bee Movie,2007
Kung Fu Panda,2007
Cars,2006
Happy Feet,2006
Monster House,2006
